stageId,loadout,winRate,avgSec,avgArkHp,star2Rate,star3Rate,avgKills,avgDrafts
1-1,recommended,100.0,37.6,30.0,100.0,90.0,22.0,1.00
1-1,balanced,100.0,40.9,30.0,100.0,86.7,22.0,1.00
1-1,physical_only,100.0,37.1,30.0,100.0,90.0,22.0,1.00
1-1,arcane_heavy,100.0,38.9,30.0,100.0,90.0,22.0,1.00
1-1,holy_heavy,100.0,50.3,30.0,90.0,6.7,22.0,1.00
1-1,no_blocker,100.0,37.4,30.0,100.0,90.0,22.0,1.00
1-1,spam_cheapest,100.0,51.9,30.0,93.3,10.0,22.0,1.00
1-1,all_expensive,100.0,44.6,30.0,100.0,66.7,22.0,1.00
1-1,turtle,100.0,49.0,30.0,90.0,3.3,22.0,1.00
1-1,siege_heavy,100.0,57.9,30.0,90.0,0.0,22.0,1.00
1-1,c_only,100.0,40.9,30.0,100.0,86.7,22.0,1.00
1-1,r_only,100.0,36.8,30.0,100.0,90.0,22.0,1.00
1-2,recommended,100.0,45.4,36.0,100.0,90.0,25.0,1.00
1-2,balanced,100.0,47.0,36.0,100.0,80.0,25.0,1.00
1-2,physical_only,100.0,44.3,36.0,100.0,90.0,25.0,1.00
1-2,arcane_heavy,100.0,45.0,36.0,100.0,90.0,25.0,1.00
1-2,holy_heavy,100.0,49.3,36.0,100.0,86.7,25.0,1.00
1-2,no_blocker,100.0,43.2,36.0,100.0,90.0,25.0,1.00
1-2,spam_cheapest,100.0,57.1,36.0,90.0,0.0,25.0,1.00
1-2,all_expensive,100.0,52.1,35.7,83.3,56.7,24.8,1.00
1-2,turtle,100.0,56.1,36.0,90.0,6.7,25.0,1.00
1-2,siege_heavy,100.0,67.1,36.0,90.0,0.0,25.0,1.00
1-2,c_only,100.0,52.4,36.0,93.3,56.7,25.0,1.00
1-2,r_only,100.0,43.5,36.0,100.0,90.0,25.0,1.00
1-3,recommended,100.0,44.0,60.0,100.0,90.0,31.0,1.00
1-3,balanced,100.0,47.7,60.0,100.0,80.0,31.0,1.00
1-3,physical_only,100.0,44.8,60.0,100.0,90.0,31.0,1.00
1-3,arcane_heavy,100.0,48.7,60.0,100.0,86.7,31.0,1.00
1-3,holy_heavy,100.0,58.3,60.0,90.0,6.7,31.0,1.00
1-3,no_blocker,100.0,47.4,60.0,100.0,90.0,31.0,1.00
1-3,spam_cheapest,100.0,64.0,60.0,90.0,0.0,31.0,1.00
1-3,all_expensive,100.0,53.1,58.0,70.0,23.3,30.0,1.00
1-3,turtle,100.0,60.5,60.0,90.0,0.0,31.0,1.00
1-3,siege_heavy,100.0,70.9,60.0,90.0,0.0,31.0,1.00
1-3,c_only,100.0,52.0,60.0,100.0,66.7,31.0,1.00
1-3,r_only,100.0,46.2,60.0,100.0,90.0,31.0,1.00
1-4,recommended,100.0,55.3,100.0,100.0,86.7,40.0,2.00
1-4,balanced,100.0,57.3,100.0,100.0,80.0,40.0,2.00
1-4,physical_only,100.0,54.6,100.0,100.0,86.7,40.0,2.00
1-4,arcane_heavy,100.0,59.9,100.0,93.3,43.3,40.0,2.00
1-4,holy_heavy,100.0,78.2,100.0,90.0,3.3,40.0,2.00
1-4,no_blocker,100.0,54.6,100.0,100.0,90.0,40.0,2.00
1-4,spam_cheapest,100.0,158.3,100.0,90.0,0.0,40.0,2.00
1-4,all_expensive,100.0,64.2,99.3,76.7,6.7,39.8,2.00
1-4,turtle,100.0,78.1,100.0,90.0,0.0,40.0,2.00
1-4,siege_heavy,100.0,91.4,100.0,90.0,0.0,40.0,2.00
1-4,c_only,100.0,59.2,100.0,96.7,63.3,40.0,2.00
1-4,r_only,100.0,58.2,100.0,93.3,73.3,40.0,2.00
1-5,recommended,100.0,67.1,100.0,100.0,86.7,36.0,2.00
1-5,balanced,100.0,74.5,100.0,93.3,36.7,36.0,2.00
1-5,physical_only,100.0,76.8,100.0,90.0,13.3,36.0,2.00
1-5,arcane_heavy,100.0,72.4,100.0,100.0,43.3,36.0,2.00
1-5,holy_heavy,100.0,96.7,100.0,90.0,0.0,36.0,2.00
1-5,no_blocker,100.0,63.4,100.0,100.0,90.0,36.0,2.00
1-5,spam_cheapest,3.3,342.9,100.0,3.3,0.0,29.8,2.00
1-5,all_expensive,100.0,79.1,100.0,90.0,6.7,36.0,2.00
1-5,turtle,100.0,106.0,100.0,90.0,0.0,36.0,2.00
1-5,siege_heavy,100.0,109.4,100.0,90.0,0.0,36.0,2.00
1-5,c_only,100.0,71.0,100.0,100.0,76.7,36.0,2.00
1-5,r_only,100.0,66.0,100.0,100.0,86.7,36.0,2.00
1-6,recommended,100.0,81.8,100.0,100.0,76.7,74.0,3.00
1-6,balanced,100.0,80.6,100.0,100.0,76.7,74.0,3.00
1-6,physical_only,100.0,79.3,100.0,100.0,80.0,74.0,3.00
1-6,arcane_heavy,100.0,83.2,100.0,96.7,66.7,74.0,3.00
1-6,holy_heavy,100.0,100.9,100.0,83.3,3.3,74.0,3.00
1-6,no_blocker,100.0,76.9,100.0,100.0,83.3,74.0,3.00
1-6,spam_cheapest,100.0,243.2,8.0,0.0,0.0,51.0,3.00
1-6,all_expensive,100.0,92.5,9.4,16.7,0.0,51.3,3.00
1-6,turtle,100.0,114.0,8.0,0.0,0.0,51.0,3.00
1-6,siege_heavy,100.0,115.5,58.9,0.0,0.0,63.7,3.00
1-6,c_only,100.0,79.8,87.3,90.0,3.3,70.8,3.00
1-6,r_only,100.0,80.0,100.0,100.0,80.0,74.0,3.00
1-7,recommended,100.0,100.8,100.0,96.7,76.7,86.0,4.00
1-7,balanced,100.0,104.4,100.0,90.0,60.0,86.0,4.00
1-7,physical_only,100.0,102.3,100.0,96.7,73.3,86.0,4.00
1-7,arcane_heavy,100.0,102.1,100.0,96.7,70.0,86.0,4.00
1-7,holy_heavy,100.0,121.1,90.7,10.0,3.3,83.7,4.00
1-7,no_blocker,100.0,100.0,100.0,96.7,80.0,86.0,4.00
1-7,spam_cheapest,0.0,0.0,0.0,0.0,0.0,14.4,3.00
1-7,all_expensive,6.7,113.2,21.5,0.0,0.0,27.9,3.07
1-7,turtle,0.0,0.0,0.0,0.0,0.0,18.4,3.00
1-7,siege_heavy,100.0,131.8,67.2,0.0,0.0,77.8,4.00
1-7,c_only,100.0,101.3,77.3,90.0,3.3,80.3,4.00
1-7,r_only,100.0,100.0,100.0,96.7,76.7,86.0,4.00
1-8,recommended,100.0,129.5,100.0,96.7,66.7,101.0,5.00
1-8,balanced,100.0,130.4,100.0,93.3,63.3,101.0,5.00
1-8,physical_only,100.0,130.3,100.0,93.3,63.3,101.0,5.00
1-8,arcane_heavy,100.0,130.4,100.0,90.0,63.3,101.0,5.00
1-8,holy_heavy,100.0,144.2,83.3,10.0,3.3,96.8,5.00
1-8,no_blocker,100.0,128.2,100.0,96.7,76.7,101.0,5.00
1-8,spam_cheapest,0.0,0.0,0.0,0.0,0.0,4.8,4.20
1-8,all_expensive,10.0,145.4,18.7,0.0,0.0,46.6,4.30
1-8,turtle,0.0,0.0,0.0,0.0,0.0,22.6,4.20
1-8,siege_heavy,100.0,181.2,38.9,0.0,0.0,85.7,5.00
1-8,c_only,100.0,131.9,64.5,53.3,0.0,92.1,5.00
1-8,r_only,100.0,128.6,100.0,96.7,73.3,101.0,5.00
1-9,recommended,80.0,169.7,102.0,70.0,3.3,144.2,6.00
1-9,balanced,46.7,188.2,93.1,36.7,0.0,116.2,6.00
1-9,physical_only,6.7,195.4,94.0,3.3,0.0,91.1,6.00
1-9,arcane_heavy,23.3,184.7,90.3,13.3,0.0,104.9,6.00
